crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	13.124025	1246	0.000000
281474976710655.000000	13.711002	1247	0.000000
281474976710655.000000	13.280222	1248	0.000000
281474976710655.000000	12.811763	1249	0.000000
281474976710655.000000	13.125062	1250	0.000000
281474976710655.000000	13.169027	1251	0.000000
281474976710655.000000	13.889910	1252	0.000000
281474976710655.000000	12.976400	1253	0.000000
281474976710655.000000	12.964594	1254	0.000000
281474976710655.000000	13.354490	1255	0.000000
281474976710655.000000	13.197050	1256	0.000000
281474976710655.000000	13.244770	1257	0.000000
281474976710655.000000	13.344601	1258	0.000000
281474976710655.000000	13.141233	1259	0.000000
281474976710655.000000	13.835629	1260	0.000000
281474976710655.000000	13.530930	1261	0.000000
281474976710655.000000	12.901740	1262	0.000000
281474976710655.000000	13.044304	1263	0.000000
281474976710655.000000	13.951142	1264	0.000000
281474976710655.000000	13.285668	1265	0.000000
281474976710655.000000	14.534226	1266	0.000000
