crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.502853	2127	0.000000
281474976710655.000000	4.392998	2128	0.000000
281474976710655.000000	4.340269	2129	0.000000
281474976710655.000000	4.520169	2130	0.000000
281474976710655.000000	4.279780	2131	0.000000
281474976710655.000000	4.620532	2132	0.000000
281474976710655.000000	4.336314	2133	0.000000
281474976710655.000000	4.463266	2134	0.000000
281474976710655.000000	4.414423	2135	0.000000
281474976710655.000000	4.291523	2136	0.000000
281474976710655.000000	4.451846	2137	0.000000
281474976710655.000000	4.371899	2138	0.000000
281474976710655.000000	4.290958	2139	0.000000
281474976710655.000000	4.551616	2140	0.000000
281474976710655.000000	4.289167	2141	0.000000
281474976710655.000000	4.430633	2142	0.000000
281474976710655.000000	4.337505	2143	0.000000
281474976710655.000000	4.394883	2144	0.000000
281474976710655.000000	4.250443	2145	0.000000
281474976710655.000000	4.320317	2146	0.000000
281474976710655.000000	4.193596	2147	0.000000
281474976710655.000000	4.373663	2148	0.000000
281474976710655.000000	4.114188	2149	0.000000
281474976710655.000000	4.277729	2150	0.000000
281474976710655.000000	4.159099	2151	0.000000
281474976710655.000000	4.356313	2152	0.000000
281474976710655.000000	4.252634	2153	0.000000
281474976710655.000000	4.486354	2154	2522213376.000000
281474976710655.000000	4.191108	2155	2523224064.000000
281474976710655.000000	4.248947	2156	2524293120.000000
281474976710655.000000	4.406641	2157	2525294336.000000
281474976710655.000000	4.387043	2158	2526380032.000000
281474976710655.000000	4.337892	2159	2527361024.000000
281474976710655.000000	4.383936	2160	2528468736.000000
281474976710655.000000	4.330120	2161	2529431040.000000
281474976710655.000000	4.289905	2162	2530551296.000000
281474976710655.000000	4.244827	2163	2531505152.000000
281474976710655.000000	4.403819	2164	2532627712.000000
281474976710655.000000	4.208833	2165	2533582848.000000
281474976710655.000000	4.303767	2166	2534703872.000000
281474976710655.000000	4.178588	2167	2535663616.000000
281474976710655.000000	4.377934	2168	2536776960.000000
281474976710655.000000	4.221526	2169	2537744896.000000
281474976710655.000000	4.342485	2170	2538851584.000000
281474976710655.000000	4.217923	2171	2539824896.000000
281474976710655.000000	4.420203	2172	2540925952.000000
281474976710655.000000	4.225194	2173	2541904128.000000
281474976710655.000000	4.410637	2174	2543003136.000000
281474976710655.000000	4.247514	2175	2543981568.000000
281474976710655.000000	4.416540	2176	2545080320.000000
281474976710655.000000	4.271501	2177	2546057728.000000
281474976710655.000000	4.386162	2178	2547159296.000000
281474976710655.000000	4.276651	2179	2548133120.000000
281474976710655.000000	4.433796	2180	2549239296.000000
281474976710655.000000	4.271160	2181	2550207232.000000
281474976710655.000000	4.432031	2182	2551319808.000000
281474976710655.000000	4.341136	2183	2552280832.000000
281474976710655.000000	4.436985	2184	2553399808.000000
281474976710655.000000	4.345464	2185	2554354944.000000
281474976710655.000000	4.497411	2186	2555478784.000000
281474976710655.000000	4.440401	2187	2556434176.000000
281474976710655.000000	4.591470	2188	2557552640.000000
281474976710655.000000	4.414695	2189	2558514944.000000
281474976710655.000000	4.647851	2190	2559624192.000000
281474976710655.000000	4.461766	2191	2560599808.000000
281474976710655.000000	4.601866	2192	2561693696.000000
281474976710655.000000	4.469543	2193	2562688512.000000
281474976710655.000000	4.678661	2194	2563762176.000000
281474976710655.000000	4.458277	2195	2564771072.000000
281474976710655.000000	4.588656	2196	2565837056.000000
281474976710655.000000	4.507450	2197	2566848000.000000
281474976710655.000000	4.635047	2198	2567916800.000000
281474976710655.000000	4.450417	2199	2568920832.000000
281474976710655.000000	4.544888	2200	2570000384.000000
281474976710655.000000	4.483026	2201	2570989824.000000
281474976710655.000000	4.509014	2202	2572083456.000000
281474976710655.000000	4.434614	2203	2573062656.000000
281474976710655.000000	4.525667	2204	2574165504.000000
281474976710655.000000	4.414088	2205	2575135744.000000
281474976710655.000000	4.544293	2206	2576246016.000000
281474976710655.000000	4.447143	2207	2577210880.000000
281474976710655.000000	4.575805	2208	2578324736.000000
281474976710655.000000	4.476902	2209	2579287040.000000
281474976710655.000000	4.621546	2210	2580403712.000000
281474976710655.000000	4.524899	2211	2581363456.000000
281474976710655.000000	4.624410	2212	2582480384.000000
281474976710655.000000	4.506188	2213	2583439872.000000
281474976710655.000000	4.679126	2214	2584558848.000000
281474976710655.000000	4.506387	2215	2585517824.000000
281474976710655.000000	4.609617	2216	2586635264.000000
281474976710655.000000	4.515135	2217	2587596544.000000
281474976710655.000000	4.644131	2218	2588710656.000000
281474976710655.000000	4.526707	2219	2589675776.000000
281474976710655.000000	4.666530	2220	2590784256.000000
281474976710655.000000	4.524935	2221	2591758080.000000
281474976710655.000000	4.681519	2222	2592857088.000000
281474976710655.000000	4.548085	2223	2593840896.000000
281474976710655.000000	4.720800	2224	2594927360.000000
281474976710655.000000	4.614546	2225	2595924480.000000
281474976710655.000000	4.773861	2226	2596999424.000000
281474976710655.000000	4.638898	2227	2598006784.000000
281474976710655.000000	4.812476	2228	2599074048.000000
281474976710655.000000	4.685141	2229	2600084736.000000
281474976710655.000000	4.811130	2230	2601151744.000000
281474976710655.000000	4.743635	2231	2602158336.000000
281474976710655.000000	4.802806	2232	2603236096.000000
281474976710655.000000	4.805727	2233	2604228352.000000
281474976710655.000000	4.803399	2234	2605320960.000000
281474976710655.000000	4.791244	2235	2606297600.000000
281474976710655.000000	4.791546	2236	2607404800.000000
281474976710655.000000	4.827637	2237	2608370432.000000
281474976710655.000000	4.803924	2238	2609485312.000000
281474976710655.000000	4.736156	2239	2610446592.000000
281474976710655.000000	4.797904	2240	2611563008.000000
281474976710655.000000	4.680515	2241	2612522240.000000
281474976710655.000000	4.828070	2242	2613640704.000000
281474976710655.000000	4.706957	2243	2614599168.000000
281474976710655.000000	4.763329	2244	2615717120.000000
281474976710655.000000	4.672996	2245	2616677120.000000
281474976710655.000000	4.817932	2246	2617793536.000000
281474976710655.000000	4.688258	2247	2618755584.000000
281474976710655.000000	4.785433	2248	2619870208.000000
281474976710655.000000	4.714833	2249	2620833280.000000
281474976710655.000000	4.830449	2250	2621947648.000000
281474976710655.000000	4.729566	2251	2622909696.000000
281474976710655.000000	4.808795	2252	2624026368.000000
281474976710655.000000	4.794306	2253	2624986112.000000
281474976710655.000000	4.829501	2254	2626104064.000000
281474976710655.000000	4.797484	2255	2627063040.000000
281474976710655.000000	4.875170	2256	2628180992.000000
281474976710655.000000	4.814125	2257	2629141504.000000
281474976710655.000000	4.933780	2258	2630256640.000000
281474976710655.000000	4.793993	2259	2631221760.000000
281474976710655.000000	4.989559	2260	2632329728.000000
281474976710655.000000	4.842250	2261	2633304320.000000
281474976710655.000000	5.051933	2262	2634400768.000000
281474976710655.000000	4.832080	2263	2635388416.000000
281474976710655.000000	4.988211	2264	2636472064.000000
281474976710655.000000	4.900643	2265	2637471488.000000
281474976710655.000000	4.974108	2266	2638542848.000000
281474976710655.000000	4.921606	2267	2639553280.000000
281474976710655.000000	5.010085	2268	2640618240.000000
281474976710655.000000	4.922294	2269	2641630464.000000
281474976710655.000000	4.986284	2270	2642697728.000000
281474976710655.000000	4.918463	2271	2643704320.000000
281474976710655.000000	4.923604	2272	2644778240.000000
281474976710655.000000	4.881360	2273	2645777920.000000
281474976710655.000000	4.894385	2274	2646860544.000000
281474976710655.000000	4.833365	2275	2647851264.000000
281474976710655.000000	4.898235	2276	2648941056.000000
281474976710655.000000	4.825644	2277	2649924096.000000
281474976710655.000000	4.887843	2278	2651021568.000000
281474976710655.000000	4.869400	2279	2651998976.000000
281474976710655.000000	4.870370	2280	2653100032.000000
281474976710655.000000	4.906378	2281	2654075392.000000
281474976710655.000000	4.914104	2282	2655177216.000000
281474976710655.000000	4.882582	2283	2656152832.000000
281474976710655.000000	4.914679	2284	2657255168.000000
281474976710655.000000	4.881785	2285	2658231296.000000
281474976710655.000000	4.917788	2286	2659330816.000000
281474976710655.000000	4.875554	2287	2660309760.000000
281474976710655.000000	4.957214	2288	2661405184.000000
281474976710655.000000	4.885236	2289	2662391040.000000
281474976710655.000000	4.993151	2290	2663478272.000000
281474976710655.000000	4.919307	2291	2664471552.000000
281474976710655.000000	5.001132	2292	2665551872.000000
281474976710655.000000	4.962537	2293	2666553600.000000
281474976710655.000000	5.078642	2294	2667625472.000000
281474976710655.000000	5.034569	2295	2668633088.000000
281474976710655.000000	5.133135	2296	2669700352.000000
281474976710655.000000	5.054423	2297	2670711808.000000
281474976710655.000000	5.139081	2298	2671779328.000000
281474976710655.000000	5.115017	2299	2672786944.000000
281474976710655.000000	5.185578	2300	2673859072.000000
281474976710655.000000	5.111413	2301	2674859008.000000
281474976710655.000000	5.137591	2302	2675942400.000000
281474976710655.000000	5.124757	2303	2676930048.000000
281474976710655.000000	5.083152	2304	2678025728.000000
281474976710655.000000	5.216291	2305	2679000832.000000
281474976710655.000000	5.056370	2306	2680108032.000000
281474976710655.000000	5.128443	2307	2681075712.000000
281474976710655.000000	5.100129	2308	2682187520.000000
281474976710655.000000	5.073652	2309	2683150592.000000
281474976710655.000000	5.103216	2310	2684267008.000000
281474976710655.000000	5.063140	2311	2685225472.000000
281474976710655.000000	5.127204	2312	2686344704.000000
281474976710655.000000	5.037944	2313	2687303424.000000
281474976710655.000000	5.102102	2314	2688422400.000000
281474976710655.000000	5.091215	2315	2689380096.000000
281474976710655.000000	5.112536	2316	2690499328.000000
281474976710655.000000	5.085561	2317	2691457792.000000
281474976710655.000000	5.125857	2318	2692576768.000000
281474976710655.000000	5.090735	2319	2693535488.000000
281474976710655.000000	5.160132	2320	2694654208.000000
281474976710655.000000	5.145493	2321	2695612672.000000
281474976710655.000000	5.210872	2322	2696730368.000000
281474976710655.000000	5.166702	2323	2697691136.000000
281474976710655.000000	5.244026	2324	2698805760.000000
281474976710655.000000	5.215246	2325	2699771904.000000
281474976710655.000000	5.268126	2326	2700879360.000000
281474976710655.000000	5.196248	2327	2701852416.000000
281474976710655.000000	5.296085	2328	2702950912.000000
281474976710655.000000	5.180512	2329	2703935488.000000
