num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3981	4652.235408	14.125560	-39.552780	2.734064	8.868225
3983	4654.308655	62.584711	-11.186362	1.318049	7.789955
3985	4656.380037	62.954745	12.104469	1.326118	8.243817
3987	4658.445584	62.865513	-10.898988	1.309207	8.637690
3989	4660.522638	62.473836	-11.475818	1.286174	8.001173
3991	4662.610127	61.533637	-10.957823	1.293789	8.699262
3993	4664.699150	60.417241	-10.492863	1.314733	8.395169
3995	4666.776416	62.156775	-9.842061	1.333400	8.171207
3997	4668.841634	63.443771	-11.122386	1.302820	8.484298
3999	4670.907032	63.026048	-11.399774	1.278896	8.442438
4001	4672.990490	62.100462	-10.436583	1.297317	7.958721
4003	4675.080749	63.554406	11.302237	1.307407	8.686498
4005	4677.163926	61.673708	-11.067081	1.266168	8.220817
4007	4679.239058	63.909983	-7.310872	1.266221	8.215069
4009	4681.308603	63.176927	-10.835143	1.289801	8.478190
4011	4683.375824	62.770286	-11.236912	1.272827	8.338470
4013	4685.450256	63.081480	-11.267322	1.270343	7.979036
4015	4687.525884	62.865671	-10.997084	1.276008	8.318293
4017	4689.601236	62.598321	-10.847714	1.281202	8.585554
4019	4691.680152	63.436290	-6.259412	1.257352	8.480206
4021	4693.759626	63.288773	-10.554849	1.280304	8.272689
4023	4695.842691	62.573768	-10.585298	1.290620	8.075488
4025	4697.929334	63.108752	-10.798776	1.275808	8.209435
4027	4700.013085	63.060103	-10.000346	1.282143	8.331410
4029	4702.089118	64.001080	10.955345	1.283835	8.734276
4031	4704.157566	63.224975	-10.335906	1.271106	8.175735
4033	4706.222880	64.668184	-10.941907	1.290842	8.743335
4035	4708.294616	64.297137	-10.022954	1.271444	8.600597
4037	4710.381093	62.615642	-10.701760	1.282708	8.622342
4039	4712.470666	63.008668	11.146782	1.292800	8.402892
4041	4714.553268	63.304682	-10.444909	1.260353	8.490062
4043	4716.627038	63.692188	-10.115993	1.263191	8.120285
4045	4718.695592	63.394422	-9.402233	1.286758	8.424984
4047	4720.764583	63.789348	-10.139513	1.276034	8.571895
4049	4722.837911	63.207377	10.655291	1.283976	8.198268
4051	4724.913760	63.462009	-9.902575	1.273206	8.204669
4053	4726.990720	63.450811	-10.117686	1.275205	8.389845
4055	4729.068097	65.211764	-10.098376	1.262765	8.667786
4057	4731.145250	63.552451	-9.950049	1.266263	8.676213
4059	4733.222474	63.512201	-9.767564	1.271549	8.641538
4061	4735.298821	63.634715	-9.686533	1.269998	8.347573
4063	4737.378306	64.474615	10.363004	1.270607	8.369076
4065	4739.459592	63.877097	10.282877	1.267231	8.925420
4067	4741.544517	63.041081	-9.627522	1.263555	8.586359
4069	4743.630113	62.001727	-9.785625	1.232990	8.921990
4071	4745.710489	61.880525	-9.967723	1.257316	8.908812
4073	4747.785774	65.732081	-5.243871	1.239677	8.218383
4075	4749.855800	63.886208	10.607530	1.276821	8.528568
4077	4751.921611	64.189092	-9.312629	1.259658	8.283380
4079	4753.994359	63.806527	-9.804200	1.241659	8.473422
4081	4756.075769	63.476253	-9.081271	1.254896	8.346679
4083	4758.160645	63.324235	-9.294782	1.254322	9.128243
4085	4760.245077	63.479804	-9.250850	1.252378	8.706664
4087	4762.326790	61.868181	-9.453094	1.245829	8.540356
4089	4764.405712	65.030123	-10.651624	1.243699	8.635423
4091	4766.482289	62.951663	-9.657074	1.228977	8.203413
4093	4768.559209	63.490748	-9.379178	1.239069	8.404168
4095	4770.636439	64.133137	-9.261791	1.248581	8.369978
4097	4772.713414	64.453163	9.864526	1.257650	8.776798
4099	4774.790886	63.969720	-9.271068	1.240114	8.624317
4101	4776.868873	67.596685	-6.324024	1.228194	8.561032
4103	4778.946231	64.917527	9.655260	1.246920	8.266054
4105	4781.022089	64.655998	-8.806179	1.243133	8.574086
4107	4783.095500	63.270703	-9.742112	1.206921	8.697116
4109	4785.166131	64.560966	-8.967096	1.242144	8.532974
4111	4787.235523	65.010574	10.096778	1.249819	8.733210
4113	4789.306702	65.815442	-8.798850	1.224903	8.956171
4115	4791.383823	64.107766	-9.372951	1.243311	8.644420
4117	4793.467543	63.650946	-9.070439	1.243548	8.517791
4119	4795.554502	65.012144	9.488473	1.252327	8.510135
4121	4797.638657	63.441314	-9.247747	1.225682	8.544698
4123	4799.718607	65.602848	-8.366823	1.220578	8.580728
4125	4801.794257	62.595809	-9.496584	1.205536	8.679084
4127	4803.867423	64.962559	-6.894825	1.229827	8.669654
4129	4805.940570	64.381651	-8.756514	1.224379	8.907904
4131	4808.015122	64.489036	-8.693220	1.231227	8.814961
4133	4810.090927	64.588022	-8.683467	1.229128	8.742704
4135	4812.167428	65.417632	-8.787835	1.200345	8.969314
4137	4814.245153	64.228796	-8.598899	1.221492	8.947988
