time (s)	det(V)
404682.791617	-0.029430	
404682.793617	-0.028476	
404682.795617	-0.028851	
404682.797618	-0.029005	
404682.799617	-0.029108	
404682.801617	-0.029807	
404682.803618	-0.032257	
404682.807619	-0.033403	
404682.811619	-0.035430	
404682.813619	-0.037627	
404682.815619	-0.039454	
404682.817619	-0.041279	
404682.819618	-0.044322	
404682.821619	-0.046674	
404682.823619	-0.047925	
404682.827629	-0.051543	
404682.831629	-0.057564	
404682.833629	-0.061781	
404682.835629	-0.065813	
404682.837629	-0.069770	
404682.839629	-0.072619	
404682.841630	-0.074648	
404682.843629	-0.079229	
404682.847640	-0.085190	
404682.851641	-0.091014	
404682.853642	-0.099229	
404682.855641	-0.102096	
404682.857642	-0.104626	
404682.859640	-0.109092	
404682.861643	-0.113115	
404682.863641	-0.117606	
404682.867641	-0.121589	
404682.869640	-0.130239	
404682.871641	-0.133512	
404682.873641	-0.134226	
404682.875641	-0.137455	
404682.877645	-0.140514	
404682.879642	-0.144168	
404682.881641	-0.146229	
404682.883642	-0.148938	
404682.885641	-0.153271	
404682.889642	-0.156842	
404682.891641	-0.159819	
404682.893641	-0.160721	
404682.895641	-0.162692	
404682.897641	-0.164486	
404682.899643	-0.165568	
404682.901643	-0.167556	
404682.903642	-0.169291	
404682.905643	-0.171926	
404682.907643	-0.172998	
404682.911645	-0.176304	
404682.913644	-0.176857	
404682.915643	-0.178026	
404682.917644	-0.178914	
404682.919643	-0.181945	
404682.921642	-0.184111	
404682.925641	-0.184869	
404682.929641	-0.190542	
404682.931644	-0.196447	
404682.933646	-0.197749	
404682.935645	-0.202019	
404682.937643	-0.205313	
404682.939643	-0.208437	
404682.941642	-0.212858	
404682.945641	-0.217487	
404682.947643	-0.228594	
404682.951643	-0.234165	
404682.953642	-0.244920	
404682.955643	-0.251144	
404682.957643	-0.257403	
404682.959643	-0.264929	
404682.961643	-0.271248	
404682.963648	-0.279317	
404682.967644	-0.289421	
404682.969645	-0.306041	
404682.971644	-0.314602	
404682.973645	-0.321887	
404682.975645	-0.331057	
404682.977645	-0.339452	
404682.979644	-0.348483	
404682.981645	-0.358706	
404682.983644	-0.367057	
404682.987644	-0.378217	
404682.991645	-0.396031	
404682.993645	-0.411460	
404682.995645	-0.418030	
404682.997644	-0.424709	
404682.999645	-0.431840	
404683.001645	-0.439082	
404683.003645	-0.446901	
404683.007648	-0.455725	
404683.011649	-0.469215	
404683.013649	-0.478901	
404683.015649	-0.484731	
404683.017649	-0.490469	
404683.019649	-0.494360	
404683.021649	-0.498109	
404683.023650	-0.502744	
404683.027648	-0.508034	
404683.031648	-0.511846	
404683.033649	-0.517436	
404683.035649	-0.518058	
404683.037649	-0.519418	
404683.039649	-0.521562	
404683.041649	-0.523486	
404683.043649	-0.524442	
404683.047649	-0.526410	
404683.049649	-0.530739	
404683.051648	-0.531896	
404683.053652	-0.531018	
404683.055653	-0.532183	
404683.057653	-0.534638	
404683.059653	-0.536183	
404683.061654	-0.537323	
404683.063658	-0.539078	
404683.067657	-0.545495	
404683.071659	-0.549827	
404683.073659	-0.555495	
404683.075660	-0.560121	
404683.077658	-0.562269	
404683.079659	-0.566326	
404683.081659	-0.571987	
404683.083659	-0.578298	
404683.087661	-0.584025	
404683.091660	-0.592724	
404683.093661	-0.603346	
404683.095662	-0.606320	
404683.097661	-0.612789	
404683.099661	-0.620402	
404683.101661	-0.625644	
404683.103661	-0.627958	
404683.107662	-0.634175	
404683.111661	-0.644768	
404683.113661	-0.646230	
404683.115661	-0.652380	
404683.117661	-0.654686	
404683.119661	-0.653561	
404683.121659	-0.652679	
404683.123661	-0.655489	
404683.127663	-0.657916	
404683.131661	-0.649258	
404683.133661	-0.647103	
404683.135660	-0.640318	
404683.137660	-0.632944	
404683.139660	-0.630554	
404683.141661	-0.627256	
404683.145659	-0.617770	
404683.149659	-0.604571	
404683.151661	-0.589373	
404683.153661	-0.575742	
404683.155663	-0.568609	
404683.157660	-0.562332	
404683.159662	-0.552367	
404683.161665	-0.538389	
404683.163663	-0.529140	
404683.165669	-0.525030	
404683.171663	-0.500584	
404683.173663	-0.481148	
404683.175663	-0.472690	
404683.177663	-0.457962	
404683.179663	-0.446807	
404683.181662	-0.441061	
404683.183663	-0.434443	
404683.187662	-0.425699	
404683.191663	-0.411898	
404683.193663	-0.395067	
404683.195663	-0.383998	
404683.197664	-0.378492	
404683.199663	-0.375879	
404683.201663	-0.367025	
404683.203663	-0.355826	
404683.207663	-0.351766	
404683.209662	-0.341938	
404683.211663	-0.330779	
404683.213664	-0.323379	
404683.215663	-0.321566	
404683.217663	-0.314714	
404683.219663	-0.304212	
404683.221663	-0.295324	
404683.223663	-0.292121	
404683.225671	-0.288481	
