time (s)	coil I (A)	last det (V)	int current (uC)
8382.596845	0.269010	97.656250	263.769531
8382.598846	0.589509	97.656250	263.769531
8382.600845	0.889292	97.656250	263.769531
8382.602845	0.980075	97.656250	263.769531
8382.604845	0.976963	10.746591	0.025784
8383.630937	0.655432	-102.148437	-131.933594
8383.634937	0.978077	-102.148437	-131.933594
8383.636940	0.975543	-102.148437	-131.933594
8383.638939	0.973940	10.713339	0.027789
8384.674939	0.335258	104.687500	259.960937
8384.676941	0.652078	104.687500	259.960937
8384.680942	0.979073	104.687500	259.960937
8384.682942	0.976312	104.687500	259.960937
8384.684941	0.974857	10.723424	0.026778
8385.706991	0.961899	-102.929687	-130.273437
8385.708993	0.977594	-102.929687	-130.273437
8385.712991	0.974086	10.714943	0.025157
8386.752967	0.305187	95.703125	254.492187
8386.754968	0.623571	95.703125	254.492187
8386.756969	0.912518	95.703125	254.492187
8386.758968	0.978594	95.703125	254.492187
8386.760969	0.975749	10.733234	0.028270
8387.783018	0.913712	-103.906250	-123.339844
8387.785019	0.978700	-103.906250	-123.339844
8387.787019	0.975859	10.734448	0.025853
8388.832987	0.435028	100.390625	243.457031
8388.834989	0.747920	100.390625	243.457031
8388.836988	0.968161	100.390625	243.457031
8388.838989	0.977446	100.390625	243.457031
8388.840990	0.975235	10.727580	0.026713
8389.858994	0.588349	-109.179687	-113.183594
8389.860995	0.888133	-109.179687	-113.183594
8389.862996	0.979190	-109.179687	-113.183594
8389.864995	0.976276	10.739039	0.026838
8390.903071	0.446365	95.312500	235.058594
8390.905074	0.758931	95.312500	235.058594
8390.907072	0.970589	95.312500	235.058594
8390.909073	0.977011	95.312500	235.058594
8390.911077	0.975045	10.725498	0.028904
8391.947061	0.449330	-116.308594	-107.324219
8391.949063	0.761841	-116.308594	-107.324219
8391.951063	0.971238	-116.308594	-107.324219
8391.953063	0.977079	-116.308594	-107.324219
8391.955063	0.974952	10.724470	0.024927
8392.973147	0.953998	140.820312	227.734375
8392.975150	0.977758	140.820312	227.734375
8392.977149	0.975393	10.729326	0.027690
8394.039756	0.792132	-119.824219	-110.058594
8394.041755	0.976026	-119.824219	-110.058594
8394.043757	0.976755	10.744304	0.029292
8395.033778	0.509034	159.765625	241.113281
8395.035781	0.819779	159.765625	241.113281
8395.037782	0.978686	159.765625	241.113281
8395.039779	0.977118	10.748301	0.022485
8396.123812	0.426585	-120.312500	-123.828125
8396.125814	0.739775	-120.312500	-123.828125
8396.127815	0.965607	-120.312500	-123.828125
8396.129816	0.976825	-120.312500	-123.828125
8396.131815	0.974709	10.721802	0.034587
8397.105880	0.831112	128.613281	270.019531
8397.107881	0.978453	128.613281	270.019531
8397.109880	0.976420	10.740617	0.018954
8398.196491	0.442919	-115.429687	-139.453125
8398.198492	0.755690	-115.429687	-139.453125
8398.200491	0.969661	-115.429687	-139.453125
8398.202491	0.976856	-115.429687	-139.453125
8398.204492	0.974834	10.723176	0.036804
8399.199113	0.541749	128.125000	270.507812
8399.201113	0.849910	128.125000	270.507812
8399.203115	0.979085	128.125000	270.507812
8399.205113	0.976395	10.740342	0.019551
8400.253156	0.267922	-107.226562	-144.726562
8400.257156	0.888062	-107.226562	-144.726562
8400.261157	0.975946	-107.226562	-144.726562
8400.263158	0.974375	10.718124	0.036512
8401.293234	0.468892	97.949219	262.890625
8401.295238	0.780733	97.949219	262.890625
8401.297251	0.976364	97.949219	262.890625
8401.299251	0.978504	97.949219	262.890625
8401.301252	0.976424	10.740662	0.023659
8402.323334	0.788825	-108.886719	-131.250000
8402.325335	0.977075	-108.886719	-131.250000
8402.327335	0.975079	10.725870	0.028822
8403.373289	0.438740	91.894531	241.015625
8403.375292	0.751503	91.894531	241.015625
8403.377293	0.969049	91.894531	241.015625
8403.379293	0.977243	91.894531	241.015625
8403.381291	0.975038	10.725418	0.028001
8404.398241	0.257746	-112.109375	-113.183594
8404.400243	0.578828	-112.109375	-113.183594
8404.402242	0.880912	-112.109375	-113.183594
8404.404243	0.979570	-112.109375	-113.183594
8404.406242	0.976514	10.741653	0.028005
8405.438261	0.282805	129.101562	222.753906
8405.440263	0.602385	129.101562	222.753906
8405.442261	0.898120	129.101562	222.753906
8405.444263	0.978771	129.101562	222.753906
8405.446261	0.975833	10.734165	0.029566
8406.496750	0.478645	-122.363281	-109.960937
8406.498754	0.790251	-122.363281	-109.960937
8406.500759	0.975884	-122.363281	-109.960937
8406.502759	0.976777	10.744552	0.028670
8407.495775	0.331666	177.441406	228.222656
8407.497775	0.648666	177.441406	228.222656
8407.499777	0.927328	177.441406	228.222656
8407.501777	0.930902	177.441406	228.222656
8407.503777	0.975242	10.727660	0.024512
8408.585865	0.255788	-119.042969	-124.707031
8408.587869	0.576958	-119.042969	-124.707031
8408.589868	0.879575	-119.042969	-124.707031
8408.591868	0.980198	-119.042969	-124.707031
8408.593867	0.977080	10.747884	0.033426
8409.567854	0.497921	134.179687	259.765625
8409.569858	0.809052	134.179687	259.765625
8409.571857	0.978203	134.179687	259.765625
8409.573859	0.977304	10.750348	0.021354
8410.664880	0.864242	-113.476562	-140.039062
8410.666884	0.980094	-113.476562	-140.039062
8410.668883	0.977158	10.748734	0.046246
8411.651277	0.351851	131.835937	267.578125
8411.653277	0.667847	131.835937	267.578125
8411.655277	0.937986	131.835937	267.578125
8411.657278	0.978203	131.835937	267.578125
8411.659280	0.975692	10.732615	0.021167
8412.727257	0.393657	-112.597656	-146.679687
8412.729259	0.707903	-112.597656	-146.679687
8412.731259	0.955705	-112.597656	-146.679687
8412.733259	0.977784	-112.597656	-146.679687
8412.735261	0.975548	10.731028	0.039330
8413.739751	0.518828	94.042969	274.414062
8413.741753	0.828916	94.042969	274.414062
8413.743753	0.978278	94.042969	274.414062
8413.745753	0.976305	10.739349	0.022410
8414.796707	0.708379	-102.929687	-149.414062
8414.798710	0.955575	-102.929687	-149.414062
8414.800708	0.977406	-102.929687	-149.414062
8414.802709	0.975107	10.726180	0.036762
8415.830707	0.828563	100.585937	262.988281
8415.832708	0.978505	100.585937	262.988281
8415.834711	0.976472	10.741193	0.023349
8416.866795	0.794764	-106.738281	-144.238281
8416.868795	0.975910	-106.738281	-144.238281
8416.870796	0.976408	10.740484	0.030064
8417.909387	0.338533	99.609375	251.953125
8417.911388	0.655067	99.609375	251.953125
8417.913388	0.931143	99.609375	251.953125
8417.915388	0.978166	99.609375	251.953125
8417.917387	0.975535	10.730886	0.029156
8418.937346	0.315098	-104.199219	-139.648437
8418.939346	0.632814	-104.199219	-139.648437
8418.941346	0.641839	-104.199219	-139.648437
8418.943345	0.978205	-104.199219	-139.648437
8418.945347	0.975562	10.731178	0.030223
8419.989377	0.461194	97.949219	245.312500
8419.991378	0.773350	97.949219	245.312500
8419.993378	0.973369	97.949219	245.312500
8419.995379	0.976997	97.949219	245.312500
8419.997379	0.974945	10.724399	0.027682
8421.017391	0.974785	-102.343750	-135.156250
8421.019392	0.978212	-102.343750	-135.156250
8421.021394	0.976195	10.738144	0.029198
8422.067400	0.348645	104.003906	240.332031
8422.069403	0.664864	104.003906	240.332031
8422.071404	0.936066	104.003906	240.332031
8422.073403	0.977578	104.003906	240.332031
8422.075404	0.975051	10.725560	0.028533
8423.091467	0.443234	-107.910156	-132.421875
8423.093468	0.755765	-107.910156	-132.421875
8423.095470	0.969969	-107.910156	-132.421875
8423.097468	0.977169	-107.910156	-132.421875
8423.099469	0.975100	10.726101	0.029211
8424.142387	0.324423	95.312500	241.699219
8424.144389	0.641679	95.312500	241.699219
8424.146390	0.923378	95.312500	241.699219
8424.148389	0.977955	95.312500	241.699219
8424.152388	0.973721	10.710928	0.028714
8425.168365	0.397684	-107.714844	-134.277344
8425.170368	0.711691	-107.714844	-134.277344
8425.172367	0.956429	-107.714844	-134.277344
8425.176365	0.974590	-107.714844	-134.277344
8425.178369	0.973129	10.704414	0.026811
8426.221293	0.517973	92.871094	244.042969
8426.223294	0.828119	92.871094	244.042969
8426.225293	0.978999	92.871094	244.042969
8426.227293	0.976943	10.746377	0.029978
8427.247389	0.364363	-101.562500	-139.550781
8427.249394	0.679807	-101.562500	-139.550781
8427.251392	0.943426	-101.562500	-139.550781
8427.255390	0.975036	-101.562500	-139.550781
8427.259389	0.973460	10.708065	0.029095
8428.297461	0.681483	75.683594	254.785156
8428.299463	0.944246	75.683594	254.785156
8428.301462	0.977566	75.683594	254.785156
8428.303463	0.975227	10.727501	0.028014
8429.326458	0.581984	-105.371094	-145.703125
8429.328459	0.883324	-105.371094	-145.703125
8429.330458	0.979574	-105.371094	-145.703125
8429.332461	0.976507	10.741573	0.032393
8430.371052	0.596572	104.589844	254.980469
8430.373054	0.893769	104.589844	254.980469
8430.375053	0.978146	104.589844	254.980469
8430.377053	0.975224	10.727466	0.228138
8431.409121	0.313002	-105.664062	-151.660156
8431.411122	0.630920	-105.664062	-151.660156
8431.413124	0.916832	-105.664062	-151.660156
8431.415123	0.977918	-105.664062	-151.660156
8431.417121	0.975195	10.727146	0.034321
8432.441726	0.781570	105.468750	263.183594
8432.443727	0.974821	105.468750	263.183594
8432.445727	0.977034	105.468750	263.183594
8432.447728	0.974961	10.724576	0.024016
8433.496267	0.511122	-110.351562	-153.417969
8433.498269	0.821806	-110.351562	-153.417969
8433.502268	0.975877	-110.351562	-153.417969
8433.504270	0.973893	10.712825	0.037341
8434.505230	0.561947	125.390625	262.890625
8434.507232	0.867534	125.390625	262.890625
8434.509230	0.980421	125.390625	262.890625
8434.511231	0.977435	10.751783	0.056269
8435.583315	0.287208	-114.453125	-148.828125
8435.585317	0.606523	-114.453125	-148.828125
8435.587318	0.900870	-114.453125	-148.828125
8435.591314	0.975428	-114.453125	-148.828125
8435.593316	0.973921	10.713126	0.038737
8436.573922	0.353959	161.230469	250.195312
8436.575924	0.669880	161.230469	250.195312
8436.577923	0.938766	161.230469	250.195312
8436.579923	0.977786	161.230469	250.195312
8436.581924	0.975287	10.728157	0.020950
8437.666008	0.514052	-119.140625	-137.304687
8437.670009	0.977605	-119.140625	-137.304687
8437.672010	0.975879	-119.140625	-137.304687
8437.674010	0.975784	10.733624	0.038558
8438.648007	0.264221	143.066406	240.234375
8438.650009	0.584794	143.066406	240.234375
8438.652009	0.885330	143.066406	240.234375
8438.654010	0.979244	143.066406	240.234375
8438.656009	0.976225	10.738473	0.025479
8439.739942	0.404758	-121.093750	-123.828125
8439.741948	0.718512	-121.093750	-123.828125
8439.743950	0.959874	-121.093750	-123.828125
8439.745952	0.977627	-121.093750	-123.828125
8439.747951	0.975358	10.728936	0.035284
8440.738530	0.515076	189.453125	210.058594
8440.740532	0.825396	189.453125	210.058594
8440.742531	0.978386	189.453125	210.058594
8440.744531	0.976569	10.742256	0.026695
8441.805064	0.683110	-118.847656	-116.894531
8441.807065	0.945022	-118.847656	-116.894531
8441.811063	0.975202	-118.847656	-116.894531
8441.813065	0.973718	10.710893	0.030986
8442.831124	0.444315	139.257812	210.156250
8442.833127	0.756720	139.257812	210.156250
8442.837124	0.976724	139.257812	210.156250
8442.839125	0.974635	139.257812	210.156250
8442.841126	0.973229	10.705523	0.030173
8443.867184	0.489585	-108.007812	-124.609375
8443.869188	0.800908	-108.007812	-124.609375
8443.871187	0.977536	-108.007812	-124.609375
8443.873192	0.977405	10.751455	0.026952
8444.915156	0.307921	106.835937	227.148437
8444.917158	0.626062	106.835937	227.148437
8444.919157	0.913876	106.835937	227.148437
8444.921158	0.978161	106.835937	227.148437
8444.923157	0.975286	10.728148	0.032623
8445.941198	0.713972	-105.175781	-142.480469
8445.943200	0.957397	-105.175781	-142.480469
8445.945201	0.977030	-105.175781	-142.480469
8445.947200	0.974860	10.723459	0.030638
8446.989784	0.475889	102.636719	247.753906
8446.991789	0.787547	102.636719	247.753906
8446.993789	0.975608	102.636719	247.753906
8446.995791	0.976809	102.636719	247.753906
8446.997792	0.974796	10.722759	0.028808
8448.025788	0.430233	-102.246094	-155.859375
8448.027789	0.743253	-102.246094	-155.859375
8448.029789	0.966483	-102.246094	-155.859375
8448.031792	0.976690	-102.246094	-155.859375
8448.033797	0.974575	10.720323	0.035770
8449.055792	0.488471	120.703125	257.031250
8449.057795	0.799779	120.703125	257.031250
8449.059795	0.977134	120.703125	257.031250
8449.061796	0.977132	10.748451	0.024669
8450.115911	0.286180	-108.984375	-155.761719
8450.117913	0.605490	-108.984375	-155.761719
8450.119914	0.900083	-108.984375	-155.761719
8450.123912	0.975259	-108.984375	-155.761719
8450.125913	0.973642	10.710060	0.039962
8451.118452	0.459970	120.996094	261.132812
8451.120454	0.771996	120.996094	261.132812
8451.122453	0.777745	120.996094	261.132812
8451.124453	0.977294	120.996094	261.132812
8451.126454	0.975221	10.727430	0.022810
8452.202514	0.320189	-111.718750	-149.414062
8452.206513	0.920922	-111.718750	-149.414062
8452.208515	0.978070	-111.718750	-149.414062
8452.210515	0.975144	10.726579	0.039844
8453.190534	0.621957	181.152344	239.160156
8453.192537	0.630681	181.152344	239.160156
8453.194536	0.978009	181.152344	239.160156
8453.196536	0.975312	10.728432	0.021232
8454.284514	0.434812	-118.945312	-138.769531
8454.286516	0.747646	-118.945312	-138.769531
8454.288518	0.967636	-118.945312	-138.769531
8454.290517	0.976791	-118.945312	-138.769531
8454.292517	0.974659	10.721252	0.039643
8455.267109	0.366263	184.179687	227.148437
8455.269112	0.681504	184.179687	227.148437
8455.271113	0.944013	184.179687	227.148437
8455.273112	0.977066	184.179687	227.148437
8455.275114	0.974655	10.721209	0.023985
8456.359153	0.520332	-116.894531	-131.640625
8456.361153	0.830313	-116.894531	-131.640625
8456.365154	0.976076	-116.894531	-131.640625
8456.367155	0.974262	10.716884	0.037143
8457.349198	0.572875	186.914062	215.234375
8457.351200	0.876708	186.914062	215.234375
8457.353202	0.982565	186.914062	215.234375
8457.357198	0.977740	10.755142	0.112435
8458.431279	0.449648	-118.945312	-125.000000
8458.433281	0.762038	-118.945312	-125.000000
8458.435282	0.970622	-118.945312	-125.000000
8458.437282	0.976340	-118.945312	-125.000000
8458.439281	0.974285	10.717132	0.034251
8459.431787	0.535897	183.300781	207.421875
8459.433790	0.844471	183.300781	207.421875
8459.435789	0.979049	183.300781	207.421875
8459.437790	0.976478	10.741255	0.027667
8460.503750	0.431375	-116.992187	-123.144531
8460.505754	0.744122	-116.992187	-123.144531
